date,NEJ
2001-08-09,238.636
2001-08-10,234.848
2001-08-13,228.03
2001-08-15,214.356
2001-08-16,214.356
2001-08-17,214.356
2001-08-22,225.758
2001-08-23,225.758
2001-08-24,225.758
2001-08-27,229.545
2001-08-28,229.545
2001-08-29,215.909
2001-08-30,228.788
2001-08-31,234.848
2001-09-03,234.848
2001-09-04,234.848
2001-09-05,234.848
2001-09-06,248.485
2001-09-07,248.485
2001-09-10,248.485
2001-09-11,242.424
2001-09-12,242.424
2001-09-13,242.424
2001-09-14,242.424
2001-09-17,242.424
2001-09-18,214.394
2001-09-19,220.455
2001-09-20,212.083
2001-09-21,218.939
2001-09-24,218.939
2001-09-25,218.939
2001-09-26,218.939
2001-09-27,208.333
2001-09-28,218.182
2001-10-01,218.182
2001-10-02,216.629
2001-10-03,216.629
2001-10-04,216.629
2001-10-05,227.273
2001-10-08,227.273
2001-10-09,227.273
2001-10-10,227.273
2001-10-11,227.273
2001-10-12,227.273
2001-10-15,227.273
2001-10-16,227.273
2001-10-17,212.121
2001-10-18,212.121
2001-10-19,224.242
2001-10-22,227.273
2001-10-23,214.394
2001-10-24,214.394
2001-10-25,226.515
2001-10-26,224.242
2001-10-29,213.636
2001-10-30,225.0
2001-10-31,222.689
2001-11-01,227.273
2001-11-05,214.394
2001-11-07,214.394
2001-11-08,222.727
2001-11-09,212.121
2001-11-12,212.121
2001-11-13,212.083
2001-11-14,219.697
2001-11-15,206.818
2001-11-16,218.182
2001-11-19,218.182
2001-11-20,218.182
2001-11-21,219.697
2001-11-22,219.697
2001-11-23,223.485
2001-11-26,223.485
2001-11-27,223.485
2001-11-28,223.485
2001-11-29,223.485
2001-12-03,223.485
2001-12-04,227.273
2001-12-05,227.273
2001-12-06,223.485
2001-12-07,235.53
2001-12-10,235.606
2001-12-11,235.606
2001-12-12,248.864
2001-12-13,248.864
2001-12-14,248.864
2001-12-19,248.447
2001-12-20,247.727
2001-12-21,247.727
2001-12-24,247.727
2001-12-25,247.727
2001-12-26,247.727
2001-12-27,247.727
2001-12-28,247.727
2001-12-31,232.879
2002-01-04,227.273
2002-01-07,213.712
2002-01-09,212.121
2002-01-10,212.121
2002-01-14,212.121
2002-01-15,212.121
2002-01-16,212.121
2002-01-17,215.909
2002-01-18,228.788
2002-01-21,228.788
2002-01-22,242.424
2002-01-23,227.879
2002-01-24,228.826
2002-01-25,228.826
2002-01-28,231.061
2002-01-29,231.023
2002-01-30,231.023
2002-01-31,223.485
2002-02-01,223.485
2002-02-04,230.985
2002-02-05,217.424
2002-02-06,217.424
2002-02-07,217.424
2002-02-08,217.424
