"Date","Price","Open","High","Low","Vol.","Change %"
"04/12/2022","12,972.98","12,943.08","12,992.54","12,932.08","","0.23%"
"04/13/2022","12,971.89","12,972.98","12,991.92","12,955.78","","-0.01%"
"04/14/2022","12,971.89","12,971.89","12,979.35","12,952.66","","0.00%"
"04/15/2022","12,999.31","12,971.89","12,999.31","12,948.57","","0.21%"
"04/18/2022","13,038.92","12,999.31","13,046.29","12,990.96","","0.30%"
"04/19/2022","13,052.07","13,038.44","13,052.07","13,000.49","","0.10%"
"04/20/2022","13,063.73","13,052.07","13,084.59","13,027.26","","0.09%"
"04/21/2022","13,096.87","13,063.73","13,115.11","13,050.11","","0.25%"
"04/22/2022","13,169.67","13,096.87","13,169.67","13,096.87","","0.56%"
"04/25/2022","13,167.39","13,169.67","13,183.37","13,130.45","","-0.02%"
"04/26/2022","13,106.89","13,167.39","13,167.39","13,098.20","","-0.46%"
"04/27/2022","13,083.67","13,106.89","13,127.40","13,065.96","","-0.18%"
"04/28/2022","13,134.64","13,083.67","13,147.87","13,072.42","","0.39%"
"04/29/2022","13,136.65","13,134.64","13,157.25","13,101.97","","0.02%"
"05/04/2022","13,143.89","13,136.65","13,173.92","13,128.90","","0.06%"
"05/05/2022","13,121.65","13,134.60","13,153.35","13,116.80","","-0.17%"
"05/06/2022","13,051.01","13,114.95","13,118.70","13,046.44","","-0.54%"
"05/09/2022","12,984.18","13,051.01","13,060.85","12,984.18","","-0.51%"
"05/10/2022","12,666.75","12,984.18","13,021.64","12,666.75","","-2.44%"
"05/11/2022","12,649.89","12,666.75","12,741.08","12,646.91","","-0.13%"
"05/12/2022","12,572.39","12,649.89","12,660.58","12,569.39","","-0.61%"
"05/13/2022","12,682.21","12,572.39","12,683.16","12,568.50","","0.87%"
"05/16/2022","12,682.77","12,682.21","12,738.15","12,648.59","","0.00%"
"05/17/2022","12,716.65","12,682.77","12,733.07","12,681.66","","0.27%"
"05/18/2022","12,679.96","12,716.65","12,749.42","12,672.62","","-0.29%"
"05/19/2022","12,680.13","12,679.08","12,738.77","12,679.08","","0.00%"
"05/20/2022","12,626.59","12,679.79","12,691.63","12,625.57","","-0.42%"
"05/23/2022","12,564.55","12,626.59","12,660.52","12,526.15","","-0.49%"
"05/24/2022","12,421.60","12,564.55","12,607.54","12,413.70","","-1.14%"
"05/25/2022","12,394.39","12,421.60","12,480.62","12,375.27","","-0.22%"
"05/26/2022","12,411.50","12,394.39","12,439.64","12,388.99","","0.14%"
"05/27/2022","12,334.93","12,407.88","12,430.36","12,306.00","","-0.62%"
"05/30/2022","12,321.15","12,334.93","12,379.51","12,311.84","","-0.11%"
"05/31/2022","12,339.60","12,321.15","12,364.38","12,314.54","","0.15%"
"06/01/2022","12,392.78","12,303.94","12,492.43","12,298.49","","0.43%"
"06/02/2022","12,534.97","12,392.50","12,552.93","12,385.81","","1.15%"
"06/03/2022","12,609.89","12,534.97","12,609.89","12,504.06","","0.60%"
"06/06/2022","12,665.15","12,595.67","12,668.16","12,580.81","","0.44%"
"06/07/2022","12,716.87","12,662.66","12,716.87","12,588.67","","0.41%"
"06/08/2022","12,672.32","12,716.87","12,728.19","12,648.82","","-0.35%"
"06/09/2022","12,611.85","12,661.55","12,706.81","12,611.85","","-0.48%"
"06/10/2022","12,564.76","12,611.85","12,611.85","12,531.87","","-0.37%"
"06/13/2022","12,490.67","12,564.76","12,613.70","12,479.50","","-0.59%"
"06/14/2022","12,264.62","12,490.67","12,490.67","12,264.22","","-1.81%"
"06/15/2022","12,358.98","12,262.57","12,359.26","12,244.09","","0.77%"
"06/16/2022","12,258.10","12,357.96","12,366.10","12,252.92","","-0.82%"
"06/17/2022","12,083.57","12,258.10","12,258.10","12,083.57","","-1.42%"
"06/20/2022","12,134.22","12,082.59","12,177.53","12,082.59","","0.42%"
"06/21/2022","12,161.36","12,126.78","12,167.44","12,109.79","","0.22%"
"06/22/2022","12,025.51","12,159.05","12,198.75","12,024.91","","-1.12%"
"06/23/2022","11,946.97","12,020.98","12,026.48","11,930.64","","-0.65%"
"06/24/2022","12,014.91","11,939.67","12,044.54","11,939.34","","0.57%"
"06/27/2022","11,978.70","12,013.69","12,055.26","11,966.27","","-0.30%"
"06/28/2022","12,022.96","11,978.70","12,048.71","11,977.53","","0.37%"
"06/29/2022","12,058.00","12,022.96","12,089.44","11,996.68","","0.29%"
"06/30/2022","12,009.41","12,057.20","12,096.00","12,009.41","","-0.40%"
"07/01/2022","11,744.22","12,003.29","12,012.41","11,744.22","","-2.21%"
"07/04/2022","11,713.85","11,710.27","11,812.12","11,707.69","","-0.26%"
"07/05/2022","11,546.31","11,639.18","11,717.49","11,544.36","","-1.43%"
"07/06/2022","11,631.66","11,546.31","11,651.11","11,518.12","","0.74%"
"07/07/2022","11,725.50","11,631.66","11,725.50","11,631.45","","0.81%"
"07/08/2022","11,711.37","11,725.19","11,800.16","11,694.73","","-0.12%"
"07/12/2022","11,740.99","11,701.65","11,803.11","11,701.65","","0.25%"
"07/13/2022","11,793.13","11,712.57","11,793.13","11,711.22","","0.44%"
"07/14/2022","11,741.78","11,777.27","11,828.39","11,741.54","","-0.44%"
"07/15/2022","11,831.42","11,741.78","11,834.60","11,741.78","","0.76%"
"07/18/2022","11,868.30","11,830.07","11,879.31","11,819.56","","0.31%"
"07/19/2022","11,956.96","11,865.04","11,957.96","11,858.87","","0.75%"
"07/20/2022","11,944.22","11,935.98","12,072.68","11,933.34","","-0.11%"
"07/21/2022","11,943.04","11,944.22","11,986.39","11,939.63","","-0.01%"
"07/22/2022","11,923.99","11,938.12","11,967.69","11,923.00","","-0.16%"
"07/25/2022","11,835.58","11,923.99","11,944.48","11,809.44","","-0.74%"
"07/26/2022","11,810.03","11,835.57","11,840.87","11,772.33","","-0.22%"
"07/27/2022","11,774.58","11,810.03","11,887.06","11,772.57","","-0.30%"
"07/28/2022","11,834.67","11,772.65","11,834.95","11,758.41","","0.51%"
"07/29/2022","11,818.46","11,834.67","11,861.70","11,787.94","","-0.14%"
"08/01/2022","11,854.28","11,818.46","11,867.47","11,805.81","","0.30%"
"08/02/2022","11,828.18","11,854.28","11,854.28","11,819.32","","-0.22%"
"08/03/2022","11,833.22","11,828.18","11,858.03","11,796.27","","0.04%"
"08/04/2022","11,862.22","11,831.21","11,871.62","11,816.99","","0.25%"
"08/05/2022","11,947.29","11,862.22","11,953.54","11,862.22","","0.72%"
"08/08/2022","11,945.83","11,947.29","11,950.94","11,913.98","","-0.01%"
"08/09/2022","11,985.35","11,945.83","11,985.35","11,930.92","","0.33%"
"08/10/2022","11,988.81","11,985.35","12,059.95","11,968.85","","0.03%"
"08/11/2022","12,083.36","11,988.81","12,094.81","11,976.98","","0.79%"
"08/12/2022","12,162.75","12,083.36","12,174.24","12,081.03","","0.66%"
"08/15/2022","12,175.75","12,162.75","12,195.89","12,116.77","","0.11%"
"08/16/2022","12,186.57","12,175.75","12,206.35","12,173.11","","0.09%"
"08/17/2022","12,174.09","12,186.57","12,215.01","12,143.01","","-0.10%"
"08/18/2022","12,173.81","12,174.09","12,207.55","12,161.04","","0.00%"
"08/19/2022","12,185.34","12,173.81","12,196.20","12,147.12","","0.09%"
"08/22/2022","12,137.96","12,185.34","12,188.87","12,135.56","","-0.39%"
"08/23/2022","12,157.00","12,132.26","12,193.64","12,127.16","","0.16%"
"08/24/2022","12,187.17","12,157.00","12,187.17","12,082.44","","0.25%"
"08/25/2022","12,201.61","12,187.17","12,205.67","12,142.19","","0.12%"
"08/26/2022","12,177.18","12,201.61","12,231.82","12,151.82","","-0.20%"
"08/29/2022","12,169.05","12,177.18","12,194.35","12,157.73","","-0.07%"
"08/30/2022","12,117.32","12,169.05","12,184.07","12,117.32","","-0.43%"
"08/31/2022","12,128.72","12,117.32","12,176.06","12,091.10","","0.09%"
"09/01/2022","12,127.17","12,128.72","12,150.78","12,083.07","","-0.01%"
"09/02/2022","12,136.29","12,127.17","12,185.69","12,105.82","","0.08%"
"09/05/2022","12,140.72","12,136.29","12,214.36","12,115.75","","0.04%"
"09/06/2022","12,109.70","12,074.23","12,115.44","12,070.13","","-0.26%"
"09/07/2022","12,154.85","12,109.70","12,173.99","12,109.70","","0.37%"
"09/08/2022","12,157.42","12,154.85","12,185.86","12,132.56","","0.02%"
"09/09/2022","12,128.37","12,157.38","12,205.13","12,128.37","","-0.24%"
"09/12/2022","12,132.92","12,128.37","12,159.67","12,108.72","","0.04%"
"09/13/2022","12,147.77","12,132.17","12,163.10","12,130.06","","0.12%"
"09/14/2022","12,146.06","12,138.23","12,161.07","12,129.14","","-0.01%"
"09/15/2022","12,138.03","12,145.54","12,185.49","12,130.65","","-0.07%"
"09/16/2022","12,198.68","12,138.03","12,198.68","12,138.03","","0.50%"
"09/19/2022","12,174.71","12,198.68","12,206.75","12,172.58","","-0.20%"
"09/20/2022","12,212.00","12,173.93","12,212.03","12,172.08","","0.31%"
"09/21/2022","12,231.15","12,212.00","12,235.10","12,165.17","","0.16%"
