date,MNG
2001-08-03,525.183
2001-08-06,549.274
2001-08-07,539.638
2001-08-08,528.074
2001-08-09,536.747
2001-08-10,538.674
2001-08-13,534.819
2001-08-15,534.819
2001-08-16,534.819
2001-08-17,530.001
2001-08-22,530.001
2001-08-23,534.819
2001-08-24,534.819
2001-08-27,534.819
2001-08-28,538.674
2001-08-29,537.71
2001-08-30,540.601
2001-08-31,547.347
2001-09-03,543.492
2001-09-04,544.456
2001-09-05,546.383
2001-09-06,544.456
2001-09-07,543.492
2001-09-10,544.456
2001-09-11,542.528
2001-09-12,539.638
2001-09-13,530.965
2001-09-14,524.219
2001-09-17,524.219
2001-09-18,515.547
2001-09-19,520.365
2001-09-20,517.474
2001-09-21,517.474
2001-09-24,525.183
2001-09-25,530.965
2001-09-26,525.183
2001-09-27,528.074
2001-09-28,520.365
2001-10-01,511.692
2001-10-02,519.401
2001-10-03,518.437
2001-10-04,518.437
2001-10-05,510.728
2001-10-08,511.692
2001-10-09,512.656
2001-10-10,511.692
2001-10-11,510.728
2001-10-12,501.092
2001-10-15,500.128
2001-10-16,502.056
2001-10-17,490.492
2001-10-18,502.056
2001-10-19,498.201
2001-10-22,498.201
2001-10-23,488.565
2001-10-24,480.856
2001-10-25,480.856
2001-10-26,477.965
2001-10-29,479.892
2001-10-30,477.965
2001-10-31,475.074
2001-11-01,472.183
2001-11-02,463.51
2001-11-05,455.03
2001-11-07,435.565
2001-11-08,431.71
2001-11-09,432.674
2001-11-12,432.674
2001-11-13,450.983
2001-11-14,469.292
2001-11-15,462.546
2001-11-16,457.728
2001-11-19,452.91
2001-11-20,465.437
2001-11-21,485.674
2001-11-22,501.092
2001-11-23,491.456
2001-11-26,490.492
2001-11-27,486.637
2001-11-28,485.674
2001-11-29,497.237
2001-11-30,501.092
2001-12-03,520.365
2001-12-04,528.074
2001-12-05,529.038
2001-12-06,520.365
2001-12-07,505.91
2001-12-10,520.365
2001-12-11,510.728
2001-12-12,510.728
2001-12-13,520.365
2001-12-14,520.365
2001-12-19,510.728
2001-12-20,517.474
2001-12-21,505.91
2001-12-24,507.837
2001-12-25,505.91
2001-12-26,508.801
2001-12-27,508.801
2001-12-28,509.765
2001-12-31,494.347
2002-01-03,465.437
2002-01-04,468.328
2002-01-07,478.928
2002-01-09,476.037
2002-01-10,477.001
2002-01-14,474.11
2002-01-15,479.892
2002-01-16,482.783
2002-01-17,485.674
2002-01-18,487.601
2002-01-21,481.819
2002-01-22,483.747
2002-01-23,481.819
2002-01-24,491.456
2002-01-25,504.947
2002-01-28,505.91
2002-01-29,505.91
2002-01-30,490.492
2002-01-31,492.419
2002-02-01,491.456
2002-02-04,496.274
2002-02-05,490.492
2002-02-06,485.674
2002-02-07,481.819
2002-02-08,481.819
2002-02-11,481.819
2002-02-12,481.819
2002-02-13,481.819
2002-02-14,477.001
2002-02-15,477.001
2002-02-18,477.001
2002-02-19,477.001
2002-02-20,477.001
2002-02-21,477.001
2002-02-22,481.723
2002-02-26,481.819
2002-02-27,478.928
2002-02-28,480.856
2002-03-01,485.674
2002-03-04,477.965
2002-03-05,484.71
2002-03-06,481.819
2002-03-07,481.819
2002-03-08,481.819
2002-03-11,481.819
2002-03-12,481.819
2002-03-13,481.819
2002-03-14,481.819
2002-03-18,476.037
2002-03-19,475.074
2002-03-20,475.074
2002-03-21,472.183
2002-03-22,452.91
2002-03-25,451.946
2002-03-26,443.37
2002-03-27,452.91
2002-03-28,457.728
2002-03-29,457.921
2002-04-01,452.91
2002-04-02,472.183
2002-04-03,472.183
2002-04-05,476.037
2002-04-08,462.546
2002-04-09,472.183
2002-04-10,467.365
2002-04-11,458.692
2002-04-12,462.546
2002-04-15,459.656
2002-04-16,459.656
2002-04-17,454.837
2002-04-18,457.728
2002-04-19,454.837
2002-04-22,452.91
2002-04-23,433.637
2002-04-24,414.365
2002-04-25,414.365
2002-04-26,416.292
2002-04-29,409.546
2002-04-30,414.461
2002-05-02,414.365
2002-05-03,420.146
2002-05-06,412.437
2002-05-07,399.91
2002-05-08,388.346
2002-05-09,385.455
2002-05-10,385.455
2002-05-13,390.274
2002-05-14,390.755
2002-05-15,390.755
2002-05-16,395.092
2002-05-17,397.019
2002-05-20,395.092
2002-05-21,393.164
2002-05-22,391.237
2002-05-23,389.31
2002-05-24,388.346
2002-05-27,388.346
2002-05-28,384.492
2002-05-29,379.674
2002-05-30,375.819
2002-05-31,375.819
2002-06-03,356.546
2002-06-04,366.183
2002-06-05,385.455
2002-06-06,385.455
2002-06-07,385.504
2002-06-10,386.226
2002-06-11,390.274
2002-06-12,392.201
2002-06-13,394.128
2002-06-14,393.164
2002-06-17,385.455
2002-06-18,385.455
2002-06-19,384.492
2002-06-20,384.492
2002-06-21,379.674
2002-06-24,385.455
2002-06-25,380.637
2002-06-26,379.192
2002-06-27,382.564
2002-06-28,381.601
2002-07-01,380.637
2002-07-02,370.037
2002-07-03,366.183
2002-07-04,358.474
2002-07-05,355.583
2002-07-08,348.837
2002-07-09,343.055
2002-07-10,346.91
2002-07-11,346.91
2002-07-12,348.789
2002-07-15,346.91
2002-07-16,342.092
2002-07-17,324.264
2002-07-18,307.401
2002-07-19,306.437
2002-07-22,306.437
2002-07-23,313.183
2002-07-24,324.794
2002-07-25,323.783
2002-07-26,328.601
2002-07-29,331.492
2002-07-31,351.343
2002-08-01,372.398
2002-08-02,350.764
2002-08-05,337.273
2002-08-06,327.637
2002-08-07,327.637
2002-08-08,332.455
2002-08-09,336.31
2002-08-12,337.273
2002-08-13,337.273
2002-08-15,337.273
2002-08-16,337.273
2002-08-19,337.273
2002-08-22,337.273
2002-08-23,345.946
2002-08-26,346.91
2002-08-27,351.728
2002-08-28,355.583
2002-08-29,352.692
2002-08-30,356.546
2002-09-02,357.51
2002-09-03,356.546
2002-09-04,358.474
2002-09-05,353.655
2002-09-06,351.728
2002-09-09,348.837
2002-09-10,344.983
2002-09-11,345.946
2002-09-12,346.91
2002-09-13,361.364
2002-09-16,346.91
2002-09-17,347.392
