date,CMA
2001-04-30,367.5
2001-05-02,367.5
2001-05-03,370.0
2001-05-04,367.5
2001-05-07,367.5
2001-05-08,369.5
2001-05-09,369.5
2001-05-10,369.5
2001-05-11,368.0
2001-05-14,368.0
2001-05-15,367.5
2001-05-16,367.5
2001-05-17,362.5
2001-05-18,367.5
2001-05-21,355.0
2001-05-22,355.5
2001-05-23,367.5
2001-05-24,367.5
2001-05-25,367.0
2001-05-28,363.0
2001-05-29,362.5
2001-05-30,362.5
2001-05-31,362.5
2001-06-01,362.5
2001-06-04,362.5
2001-06-07,361.0
2001-06-08,361.0
2001-06-11,360.5
2001-06-12,361.5
2001-06-13,361.5
2001-06-14,361.5
2001-06-15,361.5
2001-06-18,346.0
2001-06-19,346.0
2001-06-20,355.0
2001-06-21,355.0
2001-06-22,360.0
2001-06-25,367.0
2001-06-26,367.0
2001-06-27,368.0
2001-06-28,368.0
2001-06-29,366.0
2001-07-02,356.0
2001-07-03,356.0
2001-07-04,351.0
2001-07-05,351.0
2001-07-06,351.0
2001-07-09,352.5
2001-07-10,353.5
2001-07-11,357.5
2001-07-12,358.5
2001-07-13,356.0
2001-07-16,356.0
2001-07-17,352.5
2001-07-18,355.0
2001-07-19,362.5
2001-07-20,355.0
2001-07-23,355.0
2001-07-24,352.5
2001-07-25,350.5
2001-07-26,350.0
2001-07-27,350.0
2001-07-31,350.0
2001-08-01,350.0
2001-08-02,350.0
2001-08-03,350.5
2001-08-06,369.5
2001-08-07,369.5
2001-08-08,369.5
2001-08-09,369.5
2001-08-10,356.0
2001-08-13,360.0
2001-08-15,360.0
2001-08-16,362.5
2001-08-17,362.5
2001-08-22,350.5
2001-08-23,359.5
2001-08-24,355.0
2001-08-27,355.0
2001-08-28,357.0
2001-08-29,358.0
2001-08-30,366.0
2001-08-31,360.5
2001-09-03,360.5
2001-09-04,360.5
2001-09-05,370.0
2001-09-06,370.0
2001-09-07,370.0
2001-09-10,370.0
2001-09-11,370.5
2001-09-12,373.0
2001-09-13,367.5
2001-09-14,365.5
2001-09-17,366.5
2001-09-18,362.5
2001-09-19,363.0
2001-09-20,363.0
2001-09-21,362.5
2001-09-24,363.5
2001-09-25,369.5
2001-09-26,369.5
2001-09-27,363.5
2001-09-28,364.0
2001-10-01,364.0
2001-10-02,364.0
2001-10-03,364.0
2001-10-04,364.0
2001-10-05,364.0
2001-10-08,364.0
2001-10-09,364.0
2001-10-10,365.0
2001-10-11,365.0
2001-10-12,364.0
2001-10-15,360.5
2001-10-16,360.0
2001-10-17,354.0
2001-10-18,354.0
2001-10-19,354.0
2001-10-22,350.5
2001-10-23,347.5
2001-10-24,330.0
2001-10-25,349.5
2001-10-26,348.0
2001-10-29,348.0
2001-10-30,348.0
2001-10-31,342.5
2001-11-01,342.5
2001-11-02,335.5
2001-11-05,335.5
2001-11-07,335.5
2001-11-08,335.5
2001-11-09,335.0
2001-11-12,335.0
2001-11-13,335.0
2001-11-14,341.0
2001-11-15,345.0
2001-11-16,342.0
2001-11-19,342.0
2001-11-20,340.0
2001-11-21,345.0
2001-11-22,350.0
2001-11-23,346.5
2001-11-26,348.0
2001-11-27,348.0
2001-11-28,350.0
2001-11-29,350.0
2001-11-30,350.0
2001-12-03,350.0
2001-12-04,354.5
2001-12-05,364.5
2001-12-06,365.0
2001-12-07,365.0
2001-12-10,366.0
2001-12-11,365.5
2001-12-12,366.0
2001-12-13,368.0
2001-12-14,368.0
2001-12-19,368.0
2001-12-20,368.0
2001-12-21,365.5
2001-12-24,362.5
2001-12-25,362.5
2001-12-26,357.5
2001-12-27,357.5
2001-12-28,359.0
2001-12-31,359.0
2002-01-03,390.0
2002-01-04,393.5
2002-01-07,395.5
2002-01-09,390.0
2002-01-10,395.0
2002-01-14,395.0
2002-01-15,395.0
2002-01-16,394.5
2002-01-17,395.0
2002-01-18,395.5
2002-01-21,395.5
2002-01-22,397.5
2002-01-23,400.0
2002-01-24,408.0
2002-01-25,406.5
2002-01-28,400.0
2002-01-29,400.0
2002-01-30,409.5
2002-01-31,397.5
2002-02-01,400.5
2002-02-04,400.5
2002-02-05,398.0
2002-02-06,398.0
2002-02-07,397.0
2002-02-08,397.0
2002-02-11,397.0
2002-02-12,400.0
2002-02-13,397.5
2002-02-14,391.5
2002-02-15,395.0
2002-02-18,397.5
2002-02-19,397.5
2002-02-20,395.0
2002-02-21,395.0
2002-02-22,395.0
2002-02-26,392.5
2002-02-27,392.5
2002-02-28,395.0
2002-03-01,397.5
2002-03-04,402.5
2002-03-05,408.0
2002-03-06,412.5
2002-03-07,412.5
2002-03-08,405.0
2002-03-11,405.0
2002-03-12,405.0
2002-03-13,400.0
2002-03-14,405.0
2002-03-18,407.5
2002-03-19,420.0
2002-03-20,425.0
2002-03-21,420.5
2002-03-22,417.5
2002-03-25,412.5
2002-03-26,415.0
2002-03-27,410.0
2002-03-28,415.0
2002-03-29,415.0
2002-04-01,415.0
2002-04-02,424.5
2002-04-03,424.5
2002-04-05,417.5
2002-04-08,417.5
2002-04-09,417.5
2002-04-10,417.5
2002-04-11,415.0
2002-04-12,417.5
2002-04-15,404.5
2002-04-16,404.5
2002-04-17,404.5
2002-04-18,405.0
2002-04-26,371.0
2002-04-29,371.0
2002-04-30,370.0
2002-05-03,370.5
2002-05-09,370.5
2002-05-14,372.5
2002-05-15,373.0
2002-05-17,374.0
2002-05-21,373.0
