date,LHM
2001-05-11,336.818
2001-05-14,327.0
2001-05-15,312.818
2001-05-16,313.636
2001-05-17,313.636
2001-05-18,313.636
2001-05-21,313.636
2001-05-22,313.636
2001-05-23,313.636
2001-05-24,317.182
2001-05-25,316.364
2001-05-28,316.364
2001-05-29,313.636
2001-05-30,313.636
2001-05-31,322.909
2001-06-01,322.909
2001-06-04,312.273
2001-06-07,312.273
2001-06-08,310.909
2001-06-11,310.364
2001-06-12,310.364
2001-06-13,308.182
2001-06-14,305.727
2001-06-15,305.727
2001-06-18,305.727
2001-06-19,304.091
2001-06-20,304.091
2001-06-21,313.636
2001-06-22,311.455
2001-06-25,311.455
2001-06-26,309.545
2001-06-27,309.545
2001-06-28,309.545
2001-06-29,309.545
2001-07-02,309.545
2001-07-03,303.0
2001-07-04,303.0
2001-07-05,303.273
2001-07-06,303.273
2001-07-09,303.273
2001-07-10,303.273
2001-07-11,302.727
2001-07-12,302.727
2001-07-13,302.727
2001-07-16,302.727
2001-07-17,291.818
2001-07-18,291.818
2001-07-19,292.091
2001-07-20,297.273
2001-07-23,300.0
2001-07-24,305.455
2001-07-25,305.455
2001-07-26,305.455
2001-07-27,304.091
2001-07-31,301.364
2001-08-01,300.273
2001-08-02,300.273
2001-08-03,302.727
2001-08-06,320.727
2001-08-07,322.091
2001-08-08,313.364
2001-08-09,304.091
2001-08-10,304.091
2001-08-13,304.091
2001-08-15,304.091
2001-08-16,304.636
2001-08-17,301.636
2001-08-22,301.636
2001-08-23,301.364
2001-08-24,300.0
2001-08-27,308.182
2001-08-28,308.182
2001-08-29,308.455
2001-08-30,308.455
2001-08-31,310.636
2001-09-03,310.636
2001-09-04,312.273
2001-09-05,321.273
2001-09-06,312.818
2001-09-07,312.818
2001-09-10,312.818
2001-09-11,312.818
2001-09-12,312.818
2001-09-13,308.182
2001-09-14,308.182
2001-09-17,305.455
2001-09-18,305.455
2001-09-19,305.455
2001-09-20,305.455
2001-09-21,305.455
2001-09-24,304.091
2001-09-25,304.364
2001-09-26,300.0
2001-09-27,300.0
2001-09-28,295.909
2001-10-01,294.273
2001-10-02,294.273
2001-10-03,300.0
2001-10-04,300.0
2001-10-05,297.273
2001-10-08,297.273
2001-10-09,303.0
2001-10-10,294.545
2001-10-11,307.364
2001-10-12,306.273
2001-10-15,299.727
2001-10-16,298.636
2001-10-17,298.636
2001-10-18,303.273
2001-10-19,303.273
2001-10-22,303.273
