date,ALM
2001-08-03,560.0
2001-08-06,560.0
2001-08-07,560.0
2001-08-08,570.0
2001-08-09,570.0
2001-08-10,570.0
2001-08-13,560.0
2001-08-15,560.0
2001-08-16,561.0
2001-08-17,561.0
2001-08-22,561.0
2001-08-23,563.0
2001-08-24,563.0
2001-08-27,563.0
2001-08-28,563.0
2001-08-29,556.0
2001-08-30,556.0
2001-08-31,556.0
2001-09-03,556.0
2001-09-04,556.0
2001-09-05,556.0
2001-09-06,555.0
2001-09-07,555.0
2001-09-10,555.0
2001-09-11,555.0
2001-09-12,570.0
2001-09-13,570.0
2001-09-14,555.0
2001-09-17,555.0
2001-09-18,550.0
2001-09-19,550.0
2001-09-20,550.0
2001-09-21,550.0
2001-09-24,550.0
2001-09-25,550.0
2001-09-26,530.0
2001-09-27,521.0
2001-09-28,520.0
2001-10-01,501.0
2001-10-02,501.0
2001-10-03,503.0
2001-10-04,503.0
2001-10-05,500.0
2001-10-08,500.0
2001-10-09,500.0
2001-10-10,490.0
2001-10-11,471.0
2001-10-12,488.0
2001-10-15,488.0
2001-10-16,487.0
2001-10-17,476.0
2001-10-18,476.0
2001-10-19,476.0
2001-10-22,476.0
2001-10-23,477.0
2001-10-24,475.0
2001-10-25,460.0
2001-10-26,460.0
2001-10-29,470.0
2001-10-30,470.0
2001-10-31,444.1
2001-11-01,444.1
2001-11-05,439.0
2001-11-07,439.0
2001-11-08,415.1
2001-11-09,413.0
2001-11-12,412.1
2001-11-13,418.05
2001-11-14,418.05
2001-11-15,418.05
2001-11-16,418.05
2001-11-19,418.05
2001-11-20,430.0
2001-11-21,440.0
2001-11-22,440.0
2001-11-23,440.0
2001-11-26,466.0
2001-11-27,470.0
2001-11-28,470.0
2001-11-29,470.0
2001-12-03,500.0
2001-12-04,500.0
2001-12-05,513.0
2001-12-06,483.0
2001-12-07,483.0
2001-12-10,500.0
2001-12-11,500.0
2001-12-12,500.0
2001-12-13,495.0
2001-12-14,465.3
2001-12-19,465.3
2001-12-20,465.3
2001-12-21,465.3
2001-12-24,465.3
2001-12-25,465.3
2001-12-26,445.0
2001-12-27,444.9
2001-12-28,442.0
2001-12-31,464.0
2002-01-04,464.0
2002-01-09,464.0
2002-01-10,464.0
