date,DYT
2023-07-20,202.1
2023-07-21,204.0
2023-07-24,204.0
2023-07-25,204.0
2023-07-26,205.2
2023-07-27,207.5
2023-07-28,200.0
2023-07-31,200.0
2023-08-01,200.0
2023-08-02,200.05
2023-08-03,200.0
2023-08-04,202.9
2023-08-07,199.0
2023-08-08,199.05
2023-08-09,199.0
2023-08-10,199.0
2023-08-11,200.0
2023-08-15,202.0
2023-08-16,199.0
2023-08-17,198.45
2023-08-18,200.95
2023-08-22,199.0
2023-08-23,197.6
2023-08-24,197.0
2023-08-25,197.0
2023-08-28,195.25
2023-08-29,198.0
2023-08-30,197.1
2023-08-31,197.0
2023-09-01,190.1
2023-09-04,191.0
2023-09-05,186.0
2023-09-06,188.9
2023-09-07,188.0
2023-09-08,188.0
2023-09-11,184.5
2023-09-12,188.95
2023-09-13,190.95
2023-09-14,194.0
2023-09-15,193.0
2023-09-18,192.0
2023-09-19,180.5
2023-09-20,182.5
2023-09-21,181.7
2023-09-22,180.55
2023-09-25,184.0
2023-09-26,181.05
2023-09-27,183.95
2023-10-02,194.95
2023-10-03,200.3
2023-10-04,199.0
2023-10-05,206.5
2023-10-06,201.0
2023-10-09,199.6
2023-10-10,201.95
2023-10-11,196.85
2023-10-12,199.8
2023-10-13,195.15
2023-10-16,195.5
2023-10-17,194.8
2023-10-18,198.0
2023-10-19,195.15
2023-10-20,195.25
2023-10-23,195.0
2023-10-24,194.3
2023-10-25,194.0
2023-10-26,194.95
2023-10-27,192.05
2023-10-30,190.35
2023-10-31,192.0
2023-11-01,190.05
2023-11-02,191.05
2023-11-03,190.0
2023-11-07,189.0
2023-11-08,190.9
2023-11-09,190.0
2023-11-10,191.6
2023-11-13,190.05
2023-11-14,189.15
2023-11-15,193.95
2023-11-16,193.95
2023-11-17,193.5
2023-11-20,191.2
2023-11-21,191.35
2023-11-22,194.0
2023-11-23,191.7
2023-11-24,194.3
2023-11-27,192.0
2023-11-28,194.0
2023-11-29,192.2
2023-11-30,192.1
2023-12-01,184.0
2023-12-04,188.0
2023-12-05,188.0
2023-12-06,187.1
2023-12-07,187.5
2023-12-08,191.1
2023-12-11,191.85
2023-12-12,192.0
2023-12-13,192.0
2023-12-14,192.0
2023-12-15,193.7
2023-12-18,192.0
2023-12-19,192.0
2023-12-20,192.0
2023-12-21,190.0
2023-12-22,188.0
2023-12-25,190.0
2023-12-26,190.0
2023-12-27,190.45
2023-12-28,188.0
2023-12-29,191.4
2024-01-02,187.0
2024-01-03,190.0
2024-01-04,187.1
2024-01-05,187.0
2024-01-08,188.0
2024-01-09,189.0
