date,CFG
2024-12-27,215.0
2024-12-30,218.0
2024-12-31,222.0
2025-01-02,226.1
2025-01-03,234.0
2025-01-06,235.0
2025-01-07,232.2
2025-01-08,234.1
2025-01-09,239.0
2025-01-10,230.5
2025-01-13,235.0
2025-01-15,238.0
2025-01-16,238.0
2025-01-17,236.0
2025-01-20,238.0
2025-01-21,233.0
2025-01-22,234.0
2025-01-23,233.8
2025-01-24,234.0
2025-01-27,235.05
2025-01-28,235.0
2025-01-29,239.0
2025-01-30,240.0
2025-01-31,243.0
2025-02-03,242.0
2025-02-04,240.0
2025-02-05,241.9
2025-02-06,243.0
2025-02-07,243.0
2025-02-10,241.0
2025-02-11,238.0
2025-02-12,240.5
2025-02-13,240.0
2025-02-14,241.0
2025-02-17,243.95
2025-02-18,244.9
2025-02-19,252.0
2025-02-20,249.0
2025-02-21,241.0
2025-02-24,240.0
2025-02-25,240.0
2025-02-26,238.9
2025-02-27,236.0
2025-02-28,237.0
2025-03-03,239.95
2025-03-04,236.1
2025-03-05,235.5
2025-03-06,236.0
2025-03-07,233.0
2025-03-10,230.0
2025-03-11,228.2
2025-03-12,224.0
2025-03-13,229.0
2025-03-14,229.5
2025-03-17,229.5
2025-03-18,229.0
2025-03-19,230.0
2025-03-20,232.0
2025-03-21,232.0
2025-03-24,229.0
2025-03-25,228.0
2025-03-26,223.15
2025-03-27,223.15
2025-03-28,225.0
2025-04-02,224.0
2025-04-03,222.0
2025-04-04,222.0
2025-04-07,205.0
2025-04-08,210.0
2025-04-09,213.0
2025-04-10,215.0
2025-04-11,210.0
2025-04-14,215.0
2025-04-15,220.25
2025-04-16,224.0
2025-04-17,224.0
2025-04-18,220.5
2025-04-21,224.0
2025-04-22,223.0
2025-04-23,226.0
2025-04-24,229.0
2025-04-25,230.0
2025-04-28,228.1
2025-04-29,227.9
2025-04-30,229.0
2025-05-02,228.9
2025-05-05,226.2
2025-05-06,230.0
2025-05-07,229.2
2025-05-08,226.35
2025-05-09,226.2
