date,ARD
2021-12-20,409.0
2021-12-21,401.0
2021-12-22,405.0
2021-12-23,410.0
2021-12-24,400.05
2021-12-27,409.0
2021-12-28,409.0
2021-12-29,410.0
2021-12-30,413.0
2021-12-31,415.0
2022-01-03,403.0
2022-01-04,414.8
2022-01-05,403.25
2022-01-06,404.0
2022-01-07,403.2
2022-01-10,405.0
2022-01-12,415.0
2022-01-13,419.95
2022-01-14,420.0
2022-01-17,422.1
2022-01-18,440.0
2022-01-19,430.0
2022-01-20,435.1
2022-01-21,450.0
2022-01-24,450.1
2022-01-25,450.5
2022-01-26,450.5
2022-01-27,450.65
2022-01-28,450.7
2022-01-31,451.0
2022-02-01,453.0
2022-02-02,447.0
2022-02-03,450.0
2022-02-04,450.0
2022-02-07,450.0
2022-02-08,450.0
2022-02-09,450.0
2022-02-10,450.0
2022-02-11,451.0
2022-02-14,451.0
2022-02-15,450.0
2022-02-16,450.0
2022-02-17,450.0
2022-02-18,450.0
2022-02-21,450.0
2022-02-22,450.0
2022-02-23,460.0
2022-02-24,433.0
2022-02-25,454.45
2022-02-28,450.2
2022-03-01,450.0
2022-03-02,450.0
2022-03-03,441.15
2022-03-04,448.4
2022-03-07,430.0
2022-03-08,425.0
2022-03-09,431.3
2022-03-10,453.0
2022-03-11,460.0
2022-03-14,451.1
2022-03-15,452.0
2022-03-16,453.0
2022-03-17,460.0
2022-03-18,465.0
2022-03-21,454.0
2022-03-22,456.0
2022-03-23,460.0
2022-03-24,460.0
2022-03-25,464.5
2022-03-28,466.0
2022-03-29,470.0
2022-03-30,471.05
2022-03-31,472.0
2022-04-01,470.0
2022-04-04,472.0
2022-04-05,472.0
2022-04-06,472.0
2022-04-07,471.95
2022-04-08,471.95
2022-04-11,471.95
2022-04-12,460.0
2022-04-13,471.0
2022-04-14,463.4
2022-04-15,470.0
2022-04-18,471.75
2022-04-19,472.0
2022-04-20,475.0
2022-04-21,477.6
2022-04-22,472.0
2022-04-25,470.0
2022-04-26,475.0
2022-04-27,476.0
2022-04-28,480.0
2022-04-29,480.0
2022-05-04,485.0
2022-05-05,484.15
2022-05-06,465.0
2022-05-09,472.0
2022-05-10,469.0
2022-05-11,466.0
2022-05-12,466.0
2022-05-13,475.0
2022-05-16,465.0
2022-05-17,471.1
2022-05-18,479.85
2022-05-19,475.0
2022-05-20,475.0
2022-05-23,477.0
2022-05-24,474.0
2022-05-25,475.0
2022-05-26,474.0
2022-05-27,472.0
2022-05-30,474.0
2022-05-31,475.0
2022-06-01,479.0
2022-06-02,475.0
2022-06-03,477.0
2022-06-06,475.0
2022-06-07,475.0
2022-06-08,470.0
2022-06-09,466.05
2022-06-10,465.0
2022-06-13,465.0
2022-06-14,465.0
2022-06-15,460.0
2022-06-16,469.0
2022-06-17,451.0
2022-06-20,440.0
2022-06-21,454.0
2022-06-22,450.0
2022-06-23,448.0
2022-06-24,440.0
2022-06-27,440.0
2022-06-28,446.0
2022-06-29,450.0
2022-06-30,464.9
2022-07-01,440.0
2022-07-04,450.0
2022-07-05,438.0
2022-07-06,438.0
2022-07-07,438.0
2022-07-08,444.95
2022-07-12,431.0
2022-07-13,443.5
2022-07-14,436.0
2022-07-15,435.7
2022-07-18,436.05
2022-07-19,444.95
2022-07-20,437.0
2022-07-21,445.0
2022-07-22,435.3
2022-07-25,436.0
2022-07-26,436.0
2022-07-27,440.0
2022-07-28,440.0
2022-07-29,436.2
2022-08-01,448.3
2022-08-02,436.6
2022-08-03,448.25
2022-08-04,437.15
2022-08-05,440.0
2022-08-08,448.45
2022-08-09,437.0
2022-08-10,440.0
2022-08-11,437.2
2022-08-12,438.0
2022-08-15,447.9
2022-08-16,441.0
2022-08-17,445.0
2022-08-18,445.0
2022-08-19,445.9
2022-08-22,445.9
2022-08-23,445.9
2022-08-24,449.5
2022-08-25,449.3
2022-08-26,438.5
2022-08-29,438.5
2022-08-30,440.0
2022-08-31,450.75
2022-09-01,450.75
2022-09-02,459.0
2022-09-05,455.0
2022-09-06,460.1
2022-09-07,459.9
2022-09-08,460.0
2022-09-09,460.0
2022-09-12,460.0
2022-09-13,459.0
2022-09-14,460.0
2022-09-15,460.0
2022-09-16,460.0
2022-09-19,460.0
2022-09-20,460.0
2022-09-21,460.0
2022-09-22,458.0
2022-09-23,437.1
2022-09-26,437.1
2022-09-27,437.0
2022-09-28,437.0
2022-09-29,425.0
2022-09-30,425.0
2022-10-03,440.0
2022-10-04,442.0
2022-10-05,442.0
2022-10-06,444.0
2022-10-07,440.0
2022-10-11,443.0
2022-10-12,444.0
2022-10-13,444.0
2022-10-14,429.0
2022-10-17,430.0
2022-10-18,430.0
2022-10-19,428.2
2022-10-20,431.0
2022-10-21,435.0
2022-10-24,440.0
2022-10-25,435.0
2022-10-26,435.0
2022-10-27,435.0
2022-10-28,435.0
2022-10-31,438.0
2022-11-01,435.0
2022-11-02,438.0
2022-11-03,438.0
2022-11-04,435.1
2022-11-07,459.45
2022-11-08,434.2
2022-11-09,445.0
2022-11-10,434.0
2022-11-11,426.0
2022-11-14,426.0
2022-11-15,427.0
2022-11-16,427.0
2022-11-17,427.0
2022-11-21,440.0
2022-11-22,437.5
2022-11-23,437.5
2022-11-24,430.05
2022-11-25,430.05
2022-11-28,427.05
2022-11-29,428.0
2022-11-30,428.05
2022-12-01,432.0
2022-12-02,426.0
2022-12-05,435.0
2022-12-06,435.0
2022-12-07,435.0
2022-12-08,430.0
2022-12-09,440.0
2022-12-12,430.0
2022-12-13,430.0
2022-12-14,430.15
2022-12-15,430.3
2022-12-16,430.3
2022-12-19,420.0
2022-12-20,430.0
2022-12-21,440.0
2022-12-22,440.0
2022-12-23,430.0
2022-12-26,425.0
2022-12-27,430.0
2022-12-28,422.0
2022-12-29,420.0
2022-12-30,405.0
2023-01-02,429.25
2023-01-03,410.0
2023-01-04,410.0
2023-01-05,385.45
2023-01-06,408.55
2023-01-09,400.0
2023-01-10,385.0
2023-01-12,400.0
2023-01-13,407.0
2023-01-16,390.0
2023-01-17,390.0
2023-01-18,388.1
2023-01-19,388.1
2023-01-20,400.0
2023-01-23,398.9
2023-01-24,400.0
2023-01-25,405.0
2023-01-26,395.0
2023-01-27,406.5
2023-01-30,396.0
