date,EQD
2001-04-05,540.0
2001-04-06,540.0
2001-04-09,567.0
2001-04-10,567.0
2001-04-11,564.0
2001-04-12,564.0
2001-04-13,550.0
2001-04-16,550.0
2001-04-17,540.0
2001-04-18,540.0
2001-04-19,536.0
2001-04-20,547.0
2001-04-23,540.0
2001-04-24,540.0
2001-04-25,540.0
2001-04-26,530.0
2001-04-27,530.0
2001-04-30,530.0
2001-05-02,540.0
2001-05-03,540.0
2001-05-04,540.0
2001-05-07,535.0
2001-05-08,550.0
2001-05-09,580.0
2001-05-10,546.0
2001-05-11,541.0
2001-05-14,535.0
2001-05-15,530.0
2001-05-16,520.0
2001-05-17,519.0
2001-05-18,520.0
2001-05-21,520.0
2001-05-22,516.0
2001-05-23,525.0
2001-05-24,521.0
2001-05-25,520.0
2001-05-28,516.0
2001-05-29,516.0
2001-05-30,505.0
2001-05-31,505.0
2001-06-01,505.0
2001-06-04,515.0
2001-06-07,515.0
2001-06-08,500.0
2001-06-11,500.0
2001-06-12,485.0
2001-06-13,481.0
2001-06-14,482.0
2001-06-15,490.0
2001-06-18,490.0
2001-06-19,490.0
2001-06-20,489.95
2001-06-21,499.0
2001-06-22,499.0
2001-06-25,499.0
2001-06-26,490.1
2001-06-27,490.1
2001-06-28,495.0
2001-06-29,495.0
2001-07-02,450.0
2001-07-03,450.0
2001-07-04,470.0
2001-07-05,447.0
2001-07-06,473.8
2001-07-09,446.0
2001-07-10,446.0
2001-07-11,446.0
2001-07-12,455.0
2001-07-13,436.0
2001-07-16,431.0
2001-07-17,420.0
2001-07-18,430.0
2001-07-19,431.0
2001-07-20,431.0
2001-07-23,432.1
2001-07-24,432.1
2001-07-25,445.0
2001-07-26,450.0
2001-07-27,460.0
2001-07-31,465.0
2001-08-01,464.0
2001-08-02,460.0
2001-08-03,462.0
2001-08-06,489.7
2001-08-07,490.0
2001-08-08,465.0
2001-08-09,465.0
2001-08-10,465.0
2001-08-13,465.0
2001-08-15,465.0
2001-08-16,465.0
2001-08-17,458.0
2001-08-22,458.0
2001-08-23,460.0
2001-08-24,460.0
2001-08-27,455.0
2001-08-28,455.0
2001-08-29,455.0
2001-08-30,456.0
2001-08-31,479.0
2001-09-03,481.0
2001-09-04,481.0
2001-09-05,485.0
2001-09-06,484.0
2001-09-07,484.0
2001-09-10,485.0
2001-09-11,485.0
2001-09-12,465.0
2001-09-13,452.0
2001-09-14,465.0
2001-09-17,460.0
2001-09-18,450.0
2001-09-19,445.0
2001-09-20,464.0
2001-09-21,464.0
2001-09-24,439.0
2001-09-25,435.0
2001-09-26,435.0
2001-09-27,420.0
2001-09-28,419.0
2001-10-01,419.0
2001-10-02,419.0
2001-10-03,419.0
2001-10-04,416.0
2001-10-05,422.5
2001-10-08,422.5
2001-10-09,430.0
2001-10-10,435.0
2001-10-11,435.0
2001-10-12,441.5
2001-10-15,440.0
2001-10-16,445.0
2001-10-17,449.0
2001-10-18,462.0
2001-10-19,469.9
2001-10-22,469.0
2001-10-23,450.0
2001-10-24,432.0
2001-10-25,433.0
2001-10-26,440.0
2001-10-29,450.0
2001-10-30,456.0
2001-10-31,460.0
2001-11-01,469.0
2001-11-02,470.0
2001-11-05,475.0
2001-11-07,490.0
2001-11-08,503.0
2001-11-09,510.0
2001-11-12,525.0
2001-11-13,524.0
2001-11-14,510.0
2001-11-15,493.0
2001-11-16,495.0
2001-11-19,492.0
2001-11-20,490.0
2001-11-21,492.0
2001-11-22,500.0
2001-11-23,510.0
2001-11-26,510.0
2001-11-27,505.0
2001-11-28,505.0
2001-11-29,505.0
2001-11-30,505.0
2001-12-03,505.0
2001-12-04,507.0
2001-12-05,507.0
2001-12-06,506.0
2001-12-07,506.0
2001-12-10,506.0
2001-12-11,509.0
2001-12-12,510.0
2001-12-13,510.0
2001-12-14,510.0
2001-12-19,510.0
2001-12-20,510.0
2001-12-21,514.0
2001-12-24,508.0
2001-12-25,505.0
2001-12-26,508.0
2001-12-27,515.0
2001-12-28,512.0
2001-12-31,508.0
2002-01-03,475.0
2002-01-04,499.0
2002-01-07,499.0
2002-01-09,480.0
2002-01-10,477.0
2002-01-14,475.0
2002-01-15,470.0
2002-01-16,476.0
2002-01-17,476.0
2002-01-18,476.0
2002-01-21,476.0
2002-01-22,480.0
2002-01-23,497.05
2002-01-24,498.0
2002-01-25,495.0
2002-01-28,492.0
2002-01-29,495.0
2002-01-30,513.0
2002-01-31,543.0
2002-02-01,575.0
2002-02-04,575.0
2002-02-05,575.0
2002-02-06,575.0
2002-02-07,575.0
2002-02-08,609.0
2002-02-11,575.0
2002-02-12,590.0
2002-02-13,580.0
2002-02-14,586.0
2002-02-15,612.0
2002-02-18,621.0
2002-02-19,624.0
2002-02-20,636.0
2002-02-21,637.0
2002-02-22,635.0
2002-02-26,625.0
2002-02-27,641.0
2002-02-28,640.0
2002-03-01,659.0
2002-03-05,642.0
2002-03-06,611.0
2002-03-07,620.0
2002-03-08,629.0
2002-03-11,634.0
2002-03-12,644.0
2002-03-13,640.0
2002-03-14,633.0
2002-03-18,606.0
2002-03-19,600.0
2002-03-20,610.0
2002-03-21,609.0
2002-03-22,605.0
2002-03-25,605.0
2002-03-26,605.0
2002-03-27,605.0
2002-03-28,605.0
2002-03-29,600.0
2002-04-01,603.0
2002-04-02,601.0
2002-04-03,604.0
2002-04-05,570.0
2002-04-08,580.0
2002-04-09,585.0
2002-04-11,592.0
2002-04-12,592.0
2002-04-18,627.0
2002-04-23,590.0
2002-04-24,555.0
2002-04-25,540.0
2002-04-26,542.0
2002-04-29,550.0
2002-04-30,544.0
2002-05-02,544.0
2002-05-03,544.0
2002-05-06,549.0
2002-05-07,548.0
2002-05-08,549.0
2002-05-09,550.0
2002-05-10,542.0
2002-05-13,573.0
2002-05-14,549.0
2002-05-15,550.0
2002-05-17,520.0
2002-05-20,522.0
2002-05-22,533.0
2002-05-23,535.0
2002-05-24,539.0
2002-05-27,545.0
2002-05-28,550.0
2002-05-29,551.0
2002-05-30,557.0
2002-05-31,555.0
2002-06-04,556.0
2002-06-05,555.0
2002-06-06,554.0
2002-06-07,556.0
2002-06-11,560.0
2002-06-12,555.0
2002-06-13,555.0
2002-06-14,560.0
2002-06-17,563.0
2002-06-18,564.0
2002-06-19,564.0
2002-06-20,564.0
2002-06-21,561.0
2002-06-24,564.0
2002-06-26,563.0
2002-06-28,560.0
2002-07-01,530.0
2002-07-02,530.0
2002-07-03,499.0
2002-07-04,500.0
2002-07-05,495.0
2002-07-09,524.0
2002-07-10,503.0
2002-07-12,505.0
2002-07-15,503.0
2002-07-16,500.0
2002-07-17,506.0
2002-07-18,511.0
2002-07-19,511.0
2002-07-22,511.0
2002-07-23,511.0
2002-07-24,506.0
2002-07-25,515.0
2002-07-26,517.0
2002-07-31,530.0
2002-08-01,561.0
2002-08-05,533.0
2002-08-07,523.0
2002-08-13,550.0
2002-08-15,530.0
2002-08-22,532.0
2002-08-23,531.0
2002-08-26,533.0
2002-08-28,540.0
2002-08-29,542.0
2002-09-02,550.0
2002-09-04,553.0
2002-09-06,561.0
2002-09-10,565.0
2002-09-11,567.0
2002-09-12,570.0
2002-09-13,570.0
2002-09-16,560.0
2002-09-18,559.0
2002-09-19,559.0
2002-09-20,570.0
2002-09-23,570.0
2002-09-24,563.0
2002-09-25,567.0
2002-09-26,570.0
2002-09-27,571.0
2002-09-30,565.0
2002-10-01,569.0
2002-10-02,569.0
2002-10-03,575.0
2002-10-04,578.0
2002-10-07,579.0
2002-10-08,578.0
2002-10-10,580.0
2002-10-11,582.0
2002-10-15,583.0
2002-10-16,580.0
