date,SMI
2001-03-21,1210.0
2001-03-22,1220.0
2001-03-23,1200.0
2001-03-26,1195.0
2001-03-28,1200.0
2001-03-29,1200.0
2001-03-30,1200.0
2001-04-02,1200.0
2001-04-03,1199.0
2001-04-04,1199.0
2001-04-05,1199.0
2001-04-06,1189.0
2001-04-09,1189.0
2001-04-10,1189.0
2001-04-11,1201.0
2001-04-12,1201.0
2001-04-13,1198.0
2001-04-16,1190.0
2001-04-17,1190.0
2001-04-18,1190.0
2001-04-19,1190.0
2001-04-20,1195.0
2001-04-23,1151.0
2001-04-24,1186.0
2001-04-25,1190.0
2001-04-26,1190.0
2001-04-27,1190.0
2001-04-30,1185.0
2001-05-02,1185.0
2001-05-03,1190.0
2001-05-04,1196.0
2001-05-07,1196.0
2001-05-08,1195.0
2001-05-09,1195.0
2001-05-10,1195.0
2001-05-11,1195.0
2001-05-14,1195.0
2001-05-15,1195.0
2001-05-16,1190.0
2001-05-17,1176.0
2001-05-18,1176.0
2001-05-21,1180.0
2001-05-22,1183.0
2001-05-23,1183.0
2001-05-24,1185.0
2001-05-25,1190.0
2001-05-28,1190.0
2001-05-29,1185.0
2001-05-30,1185.0
2001-05-31,1185.0
2001-06-01,1186.0
2001-06-04,1186.0
2001-06-07,1186.0
2001-06-08,1190.0
2001-06-11,1190.0
2001-06-12,1170.0
2001-06-13,1169.0
2001-06-14,1169.0
2001-06-15,1169.0
2001-06-18,1169.0
2001-06-19,1169.0
2001-06-20,1130.0
2001-06-21,1130.0
2001-06-22,1130.0
2001-06-25,1140.0
2001-06-26,1132.0
2001-06-27,1137.0
2001-06-28,1137.0
2001-06-29,1133.0
2001-07-02,1073.0
2001-07-03,1073.0
2001-07-04,1073.0
2001-07-05,1073.0
2001-07-06,1070.0
2001-07-09,1070.0
2001-07-10,1011.0
2001-07-11,1070.0
2001-07-12,1050.0
2001-07-13,1050.0
2001-07-16,1050.0
2001-07-17,1040.0
2001-07-18,1032.0
2001-07-19,1048.0
2001-07-20,1090.0
2001-07-23,1089.0
2001-07-24,1083.0
2001-07-25,1099.0
2001-07-26,1095.0
2001-07-27,1095.0
2001-07-31,1095.0
2001-08-01,1089.0
2001-08-02,1089.0
2001-08-03,1063.0
2001-08-06,1100.0
2001-08-07,1075.0
2001-08-08,1094.0
2001-08-09,1090.0
2001-08-10,1090.0
2001-08-13,1090.0
2001-08-15,1090.0
2001-08-16,1070.0
2001-08-17,1050.0
2001-08-22,1075.0
2001-08-23,1070.0
2001-08-24,1080.0
2001-08-27,1088.0
2001-08-28,1089.0
2001-08-29,1085.0
2001-08-30,1087.0
2001-08-31,1089.0
2001-09-03,1098.0
2001-09-04,1098.0
2001-09-05,1099.0
2001-09-06,1097.0
2001-09-07,1095.0
2001-09-10,1095.0
2001-09-11,1095.0
2001-09-12,1089.0
2001-09-13,1081.0
2001-09-14,1081.0
2001-09-17,1077.0
2001-09-18,1060.0
2001-09-19,1059.0
2001-09-20,1060.0
2001-09-21,1060.0
2001-09-24,1060.0
2001-09-25,1085.0
2001-09-26,1084.0
2001-09-27,1060.0
2001-09-28,1060.0
2001-10-01,1057.0
2001-10-02,1055.0
2001-10-03,1050.0
2001-10-04,1049.0
2001-10-05,1030.0
2001-10-08,1030.0
2001-10-09,1030.0
2001-10-10,1029.0
2001-10-11,1029.0
2001-10-12,1030.0
2001-10-15,1045.0
2001-10-16,1040.0
2001-10-17,1035.0
2001-10-18,1030.0
2001-10-19,1030.0
2001-10-22,1028.0
2001-10-23,1024.0
2001-10-24,1015.0
2001-10-25,1010.0
2001-10-26,1009.0
2001-10-29,1020.0
2001-10-30,1020.0
2001-10-31,1000.0
2001-11-01,1000.0
2001-11-02,1000.0
2001-11-05,1000.0
2001-11-07,1000.0
2001-11-08,960.0
2001-11-09,960.0
2001-11-12,971.0
2001-11-13,978.0
2001-11-14,995.0
2001-11-15,990.0
2001-11-16,990.0
2001-11-19,999.0
2001-11-20,999.0
2001-11-21,999.0
2001-11-22,1009.0
2001-11-23,1044.0
2001-11-26,1044.0
2001-11-27,1042.0
2001-11-28,1040.0
2001-11-29,1041.0
2001-11-30,1041.0
2001-12-03,1058.0
2001-12-04,1058.0
2001-12-05,1045.0
2001-12-06,1015.0
2001-12-07,1015.0
2001-12-10,1015.0
2001-12-11,1000.0
2001-12-12,990.0
2001-12-13,995.0
2001-12-14,1052.0
2001-12-19,1031.0
2001-12-20,1031.0
2001-12-21,1031.0
2001-12-24,1030.0
2001-12-25,1030.0
2001-12-26,1025.0
2001-12-27,1025.0
2001-12-28,1025.0
2001-12-31,1020.0
2002-01-03,985.0
2002-01-04,999.0
2002-01-07,995.0
2002-01-09,989.0
2002-01-10,987.0
2002-01-14,987.0
2002-01-15,981.0
2002-01-16,980.0
2002-01-17,980.0
2002-01-18,980.0
2002-01-21,995.0
2002-01-22,995.0
2002-01-23,960.0
2002-01-24,942.0
2002-01-25,940.0
2002-01-28,939.0
2002-01-29,939.0
2002-01-30,975.0
2002-01-31,975.0
2002-02-01,975.0
2002-02-04,975.0
2002-02-05,975.0
2002-02-06,958.0
2002-02-07,995.0
2002-02-08,960.0
2002-02-11,950.0
2002-02-12,950.0
2002-02-13,950.0
2002-02-14,950.0
2002-02-15,943.0
2002-02-18,941.0
2002-02-19,941.0
2002-02-20,941.0
2002-02-21,940.0
2002-02-22,923.0
2002-02-26,921.0
2002-02-27,930.0
2002-02-28,930.0
2002-03-01,930.0
2002-03-04,950.0
2002-03-05,950.0
2002-03-06,950.0
2002-03-07,950.0
2002-03-08,975.0
2002-03-11,975.0
2002-03-12,975.0
2002-03-13,975.0
2002-03-14,975.0
2002-03-18,975.0
2002-03-19,975.0
2002-03-20,980.0
2002-03-21,932.0
2002-03-22,940.0
2002-03-25,940.0
2002-03-26,943.0
2002-03-27,950.0
2002-03-28,952.0
2002-03-29,950.0
2002-04-01,950.0
2002-04-02,950.0
2002-04-03,950.0
2002-04-05,950.0
2002-04-08,950.0
2002-04-09,950.0
2002-04-10,950.0
2002-04-11,950.0
2002-04-12,950.0
2002-04-15,950.0
2002-04-16,950.0
2002-04-17,940.0
2002-04-18,933.0
2002-04-19,931.0
2002-04-22,940.0
2002-04-23,950.0
2002-04-24,950.0
2002-04-25,931.0
2002-04-26,930.0
2002-04-29,930.0
2002-04-30,925.0
2002-05-02,920.0
2002-05-03,921.0
2002-05-06,921.0
2002-05-07,920.0
2002-05-08,930.0
2002-05-09,949.0
2002-05-10,930.0
2002-05-14,920.0
2002-05-15,920.0
2002-05-20,920.0
2002-05-21,870.0
2002-05-23,920.0
2002-05-24,920.0
2002-05-28,919.0
2002-05-29,928.0
2002-05-31,910.0
2002-06-03,900.0
2002-06-04,900.0
2002-06-06,900.0
2002-06-07,900.0
2002-06-10,895.0
2002-06-11,890.0
2002-06-13,890.0
2002-06-14,900.0
2002-06-17,890.0
2002-06-18,890.0
2002-06-19,900.0
2002-06-20,891.0
2002-06-21,890.0
2002-06-24,890.0
2002-06-25,891.0
2002-06-26,891.0
2002-06-28,917.0
2002-07-01,910.0
2002-07-02,810.0
2002-07-03,800.0
2002-07-05,808.0
2002-07-08,761.0
2002-07-10,770.0
2002-07-11,775.0
